SERIES,SYMBOL,SECURITY,RECORD_DT,BC_STRT_DT,BC_END_DT,EX_DT,ND_STRT_DT,ND_END_DT,PURPOSE
EQ,GITANJALI,Gitanjali Gems Limited, ,19/09/2015,30/09/2015,16/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,PRATIBHA,Pratibha Industries Limit, ,23/09/2015,30/09/2015,21/09/2015, , ,AGM/DIV-RE 0.20 PER SHARE
EQ,GOKEX,Gokaldas Exports Limited, ,14/09/2015,18/09/2015,10/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,BLKASHYAP,B. L. Kashyap and Sons Li, ,22/09/2015,29/09/2015,18/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,NITCO,Nitco Limited, ,14/09/2015,21/09/2015,10/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,KEI,KEI Industries Limited, ,10/09/2015,16/09/2015,08/09/2015, , ,AGM/DIV-RE 0.40 PER SHARE
EQ,3IINFOTECH,3i Infotech Limited, ,16/09/2015,23/09/2015,14/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,SSWL,Steel Strips Wheels Limit, ,24/09/2015,30/09/2015,22/09/2015, , ,AGM/DIV RS 2/- PER SHARE 
EQ,NSIL,Nalwa Sons Investments Li, ,16/09/2015,18/09/2015,14/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,CYBERMEDIA,Cyber Media (India) Limit, ,23/09/2015,30/09/2015,21/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,COLORCHIPS,Color Chips Ltd., ,23/09/2015,30/09/2015,21/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,GALLANTT,Gallantt Metal Limited, ,22/09/2015,28/09/2015,18/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,MALUPAPER,Malu Paper Mills Limited, ,14/09/2015,22/09/2015,10/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,GANGOTRI,Gangotri Textiles Limited, ,14/09/2015,23/09/2015,10/09/2015, , ,Annual General Meeting   
EQ,PRIMESECU,Prime Securities Limited, ,16/09/2015,21/09/2015,14/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,FINANTECH,Financial Technologies (I, ,24/09/2015,30/09/2015,22/09/2015, , ,AGM/DIV-RS 5 PER SHARE   
EQ,SGL,STL Global Limited, ,24/09/2015,30/09/2015,22/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,PREMIER,Premier Limited, ,14/09/2015,23/09/2015,10/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,SHAHALLOYS,Shah Alloys Limited, ,16/09/2015,24/09/2015,14/09/2015, , ,Annual General Meeting   
EQ,JKPAPER,JK Paper Limited, ,18/09/2015,24/09/2015,15/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,ZICOM,Zicom Electronic Security, ,22/09/2015,29/09/2015,18/09/2015, , ,DIV-RS 1.20 PER SHARE    
EQ,SUNTV,Sun TV Network Limited, ,18/09/2015,25/09/2015,15/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,MSPL,MSP Steel & Power Limited, ,15/09/2015,21/09/2015,11/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,NECLIFE,Nectar Lifesciences Limit, ,24/09/2015,30/09/2015,22/09/2015, , ,AGM/DIV-RE 0.10 PER SHARE
EQ,BASML,Bannari Amman Spinning Mi, ,22/09/2015,28/09/2015,18/09/2015, , ,AGM/DIV-RS 1.50 PER SHARE
EQ,MARKSANS,Marksans Pharma Limited, ,26/09/2015,29/09/2015,23/09/2015, , ,AGM/DIV-RE 0.12 PER SHARE
EQ,LOKESHMACH,Lokesh Machines Limited, ,25/09/2015,28/09/2015,23/09/2015, , ,AGM/DIV RE 0.50 PER SHARE
EQ,BALPHARMA,Bal Pharma Limited, ,18/09/2015,22/09/2015,15/09/2015, , ,AGM/DIV-RE 1 PER SHARE   
EQ,SHIV-VANI,Shiv-Vani Oil & Gas Explo, ,29/09/2015,30/09/2015,24/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,TRIGYN,Trigyn Technologies Ltd, ,24/09/2015,30/09/2015,22/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,SPLIL,SPL Industries Limited, ,16/09/2015,26/09/2015,14/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,PBAINFRA,PBA Infrstructure Limited, ,24/09/2015,30/09/2015,22/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,BRFL,Bombay Rayon Fashions Lim, ,22/09/2015,29/09/2015,18/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,ABIRLANUVO,Aditya Birla Nuvo Limited, ,04/09/2015,15/09/2015,02/09/2015, , ,DIVIDEND-RS 7 PER SHARE  
EQ,KIL,Kamdhenu Ispat Limited, ,23/09/2015,29/09/2015,21/09/2015, , ,AGM/DIV-RE 0.70 PER SHARE
EQ,RATNAMANI,Ratnamani Metals & Tubes, ,17/09/2015,23/09/2015,15/09/2015, , ,AGM/DIV-RS 5.50 PER SHARE
EQ,TRIL,Transformers And Rectifie, ,05/09/2015,11/09/2015,03/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,BRIGADE,Brigade Enterprises Limit, ,18/09/2015,18/09/2015,15/09/2015, , ,AGM/DIV-RS 2 PER SHARE   
EQ,BGRENERGY,BGR Energy Systems Ltd, ,21/09/2015,24/09/2015,16/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,TRICOM,Tricom India Limited, ,23/09/2015,30/09/2015,21/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,SPENTEX,Spentex Industries Ltd, ,28/09/2015,30/09/2015,23/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,GTOFFSHORE,Great Offshore Limited, ,18/09/2015,23/09/2015,15/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,RAJTV,Raj Television Network Li, ,22/09/2015,30/09/2015,18/09/2015, , ,AGM/DIV-RE 0.50 PER SHARE
EQ,JKTYRE,JK Tyre & Industries Ltd, ,16/09/2015,22/09/2015,14/09/2015, , ,AGM/DIV-RS 1.50 PER SHARE
EQ,HDIL,Housing Development and I, ,26/09/2015,30/09/2015,23/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,ADSL,Allied Digital Services L, ,18/09/2015,24/09/2015,15/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,MANAKSIA,Manaksia Limited, ,17/09/2015,21/09/2015,15/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,PATINTLOG,Patel Integrated Logistic, ,09/09/2015,15/09/2015,07/09/2015, , ,AGM/DIV-RE 0.50 PER SHARE
EQ,PPAP,PPAP Automotive Limited, ,22/09/2015,25/09/2015,18/09/2015, , ,AGM/DIV-RE 1 PER SHARE   
EQ,ARIES,Aries Agro Limited, ,19/09/2015,30/09/2015,16/09/2015, , ,AGM/DIV-RS 2 PER SHARE   
EQ,NICCO,Nicco Corporation Limited, ,21/09/2015,29/09/2015,16/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,DAAWAT,LT Foods Limited, ,14/09/2015,18/09/2015,10/09/2015, , ,AGM/DIV-RS 2 PER SHARE   
EQ,DONEAR,Donear Industries Limited, ,17/09/2015,25/09/2015,15/09/2015, , ,AGM/DIV-RE 0.20 PER SHARE
EQ,RUCHIRA,Ruchira Papers Limited, ,19/09/2015,25/09/2015,16/09/2015, , ,AGM/DIV-RS 1.30 PER SHARE
EQ,IBREALEST,Indiabulls Real Estate Li, ,21/09/2015,28/09/2015,16/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,NAHARSPING,Nahar Spinning Mills Ltd., ,12/09/2015,22/09/2015,10/09/2015, , ,DIV-RE 1 PER SHARE       
EQ,JMTAUTOLTD,JMT Auto Limited, ,22/09/2015,28/09/2015,18/09/2015, , ,ANNUAL BOOK CLOSURE      
EQ,ALCHEM,Alchemist Ltd, ,25/09/2015,28/09/2015,23/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,EVERONN,Everonn Education Limited, ,22/09/2015,29/09/2015,18/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,WSI,W S Industries (I) Ltd, ,22/09/2015,29/09/2015,18/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,SIMPLEX,Simplex Projects Limited, ,17/09/2015,24/09/2015,15/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,DECCANCE,Deccan Cements Ltd, ,16/09/2015,22/09/2015,14/09/2015, , ,AGM/DIV-RS 2.50 PER SHARE
EQ,MAXWELL,Maxwell Industries Ltd., ,19/09/2015,26/09/2015,16/09/2015, , ,AGM/DIV-RE 0.30 PER SHARE
EQ,GENUSPOWER,Genus Power Infrastru Ltd, ,21/09/2015,26/09/2015,16/09/2015, , ,AGM/DIV-RE 0.20 PER SHARE
EQ,AMBIKCO,Ambika Cotton Mills Limit, ,17/09/2015,23/09/2015,15/09/2015, , ,AGM/DIV-RS 14 PER SHARE  
EQ,KAVVERITEL,Kavveri Telecom Products, ,19/09/2015,30/09/2015,16/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,THEMISMED,Themis Medicare Limited, ,15/09/2015,21/09/2015,11/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,NCLIND,NCL Industries Limited, ,23/09/2015,29/09/2015,21/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,BALAMINES,Balaji Amines Limited, ,17/09/2015,23/09/2015,15/09/2015, , ,AGM/DIV-RS 1.20 PER SHARE
EQ,ALPA,Alpa Laboratories Limited, ,19/09/2015,30/09/2015,16/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,OMAXE,Omaxe Limited, ,24/09/2015,29/09/2015,22/09/2015, , ,AGM/DIV-RE 0.50 PER SHARE
EQ,JAIBALAJI,Jai Balaji Industries Ltd, ,19/09/2015,21/09/2015,16/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,RPOWER,Reliance Power Limited, ,19/09/2015,30/09/2015,16/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,JKIL,J.Kumar Infraprojects Lim, ,09/09/2015,15/09/2015,07/09/2015, , ,AGM/DIV - 4 PER SHARE    
EQ,CORDSCABLE,Cords Cable Industries Li, ,24/09/2015,30/09/2015,22/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,KNRCON,KNR Constructions Limited, ,25/09/2015,30/09/2015,23/09/2015, , ,AGM/DIV-RE 1 PER SHARE   
EQ,NFL,National Fertilizers Limi, ,17/09/2015,23/09/2015,15/09/2015, , ,AGM/DIV-RE 0.17 PER SHARE
EQ,SATHAISPAT,Sathavahana Ispat Ltd, ,16/09/2015,30/09/2015,14/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,ESSDEE,Ess Dee Aluminium Limited, ,23/09/2015,29/09/2015,21/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,ABGSHIP,ABG Shipyard Limited, ,24/09/2015,30/09/2015,22/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,BANSWRAS,Banswara Syntex Limited, ,05/09/2015,12/09/2015,03/09/2015, , ,AGM/DIV RE 1/- PER SHARE 
EQ,ABAN,Aban Offshore Ltd., ,16/09/2015,23/09/2015,14/09/2015, , ,AGM/DIV-RS 3.60 PER SHARE
EQ,GMRINFRA,GMR Infrastructure Limite, ,16/09/2015,23/09/2015,14/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,VISUINTL,Visu International Limite, ,19/09/2015,30/09/2015,16/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,PARACABLES,Paramount Communications, ,17/09/2015,24/09/2015,15/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,PANORAMUNI,Panoramic Universal Limit, ,23/09/2015,29/09/2015,21/09/2015, , ,AGM/DIV-RE 0.50 PER SHARE
EQ,VICEROY,Viceroy Hotels Limited, ,23/09/2015,29/09/2015,21/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,SELMCL,SEL Manufacturing Company, ,24/09/2015,30/09/2015,22/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,ASIANTILES,Asian Granito India Limit, ,14/09/2015,24/09/2015,10/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,RSWM,RSWM Limited, ,19/09/2015,25/09/2015,16/09/2015, , ,AGM/DIV-RS 10 PER SHARE  
EQ,ATNINTER,ATN International Limited, ,17/09/2015,24/09/2015,15/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,VALECHAENG,Valecha Engineering Limit, ,24/09/2015,30/09/2015,22/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,GAYAPROJ,Gayatri Projects Ltd, ,23/09/2015,28/09/2015,21/09/2015, , ,AGM/DIV-RE 1 PER SHARE   
EQ,HBLPOWER,HBL Power Systems Limited, ,23/09/2015,29/09/2015,21/09/2015, , ,AGM/DIV-RE 0.20 PER SHARE
EQ,RAJRAYON,Raj Rayon Industries Ltd, ,23/09/2015,30/09/2015,21/09/2015, , ,Annual General Meeting   
EQ,TANLA,Tanla Solutions Limited, ,10/09/2015,16/09/2015,08/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,DISHTV,Dish TV India Limited, ,23/09/2015,29/09/2015,21/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,AROGRANITE,Aro Granite Industries Li, ,05/09/2015,11/09/2015,03/09/2015, , ,AGM/DIV-RE 1 PER SHARE   
EQ,HINDALCO,Hindalco Ind Ltd., ,09/09/2015,16/09/2015,07/09/2015, , ,DIVIDEND-RE 1 PER SHARE  
EQ,ISMTLTD,ISMT Limited, ,21/09/2015,26/09/2015,16/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,BHAGYNAGAR,Bhagyanagar India Limited, ,25/09/2015,30/09/2015,23/09/2015, , ,AGM/DIV-RE 0.30 PER SHARE
EQ,RAMANEWS,Shree Rama Newsprint Ltd, ,22/09/2015,30/09/2015,18/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,ZENITHBIR,Zenith Birla (India) Limi, ,21/09/2015,26/09/2015,16/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,VADILALIND,Vadilal Industries Ltd, ,18/09/2015,28/09/2015,15/09/2015, , ,AGM/DIV-RE 1 PER SHARE   
EQ,SRHHYPOLTD,Sree Rayalaseema Hi-Stren, ,24/09/2015,30/09/2015,22/09/2015, , ,AGM/DIV-RS 1.50 PER SHARE
EQ,FORTIS,Fortis Healthcare Limited, ,16/09/2015,23/09/2015,14/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,PURVA,Puravankara Projects Limi, ,17/09/2015,24/09/2015,15/09/2015, , ,DIV-RS 1.55 PER SHARE    
EQ,INDOWIND,Indowind Energy Limited, ,23/09/2015,28/09/2015,21/09/2015, , ,Annual General Meeting   
EQ,NAGREEKCAP,Nagreeka Capital & Infras, ,21/09/2015,28/09/2015,16/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,MAGNUM,Magnum Ventures Limited, ,19/09/2015,25/09/2015,16/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,ATLANTA,Atlanta  Limited, ,22/09/2015,28/09/2015,18/09/2015, , ,AGM/DIV-RE 0.30 PER SHARE
EQ,LAKPRE,Lakshmi Precision Screws, ,18/09/2015,29/09/2015,15/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,SARLAPOLY,Sarla Performance Fibers, ,24/09/2015,28/09/2015,22/09/2015, , ,AGM/DIV-RS 8 PER SHARE   
EQ,ALPHAGEO,Alphageo (India) Limited, ,22/09/2015,26/09/2015,18/09/2015, , ,AGM/DIV-RS 2 PER SHARE   
EQ,SGFL,Shree Ganesh Forgings Lim, ,26/09/2015,28/09/2015,23/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,RPPINFRA,R.P.P. Infra Projects Ltd, ,10/09/2015,14/09/2015,08/09/2015, , ,AGM/DIV-RE 0.50 PER SHARE
EQ,KSCL,Kaveri Seed Company Limit, ,26/09/2015,29/09/2015,23/09/2015, , ,AGM/DIV-RS 2.50 PER SHARE
EQ,POWERGRID,Power Grid Corporation of, ,09/09/2015,15/09/2015,07/09/2015, , ,AGM/DIV-RS 1.31 PER SHARE
EQ,ACE,Action Construction Equip, ,18/09/2015,25/09/2015,15/09/2015, , ,AGM/DIV-RE 0.20 PER SHARE
EQ,ANANTRAJ,Anant Raj Industries Limi, ,24/09/2015,30/09/2015,22/09/2015, , ,AGM/DIV-RE 0.24 PER SHARE
EQ,ICSA,ICSA (India) Limited, ,23/09/2015,30/09/2015,21/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,CLUTCHAUTO,Clutch Auto Limited, ,24/09/2015,30/09/2015,22/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,SANGHVIMOV,Sanghvi Movers Ltd., ,09/09/2015,23/09/2015,07/09/2015, , ,AGM/DIV-RE 0.50 PER SHARE
EQ,AUTOIND,Autoline Industries Limit, ,26/09/2015,29/09/2015,23/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,WANBURY,Wanbury Limited, ,22/09/2015,28/09/2015,18/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,BILPOWER,Bilpower  Limited, ,25/09/2015,29/09/2015,23/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,HILTON,Hilton Metal Forging Limi, ,23/09/2015,29/09/2015,21/09/2015, , ,AGM/DIV RE 0.25 PER SHARE
EQ,CCCL,Consolidated Construction, ,24/09/2015,26/09/2015,22/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,SUPREMEINF,Supreme Infrastructure In, ,24/09/2015,30/09/2015,22/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,MANGCHEFER,Mangalore Chemicals & Fer, ,19/09/2015,29/09/2015,16/09/2015, , ,AGM/DIV RE 0.60 PER SHARE
EQ,TALBROAUTO,Talbros Automotive Compon, ,18/09/2015,25/09/2015,15/09/2015, , ,AGM/DIV-RS 1.50 PER SHARE
EQ,MADHUCON,Madhucon Projects Limited, ,24/09/2015,30/09/2015,22/09/2015, , ,AGM/DIV RE 0.10 PER SHARE
EQ,SAGCEM,Sagar Cements Ltd, ,17/09/2015,23/09/2015,15/09/2015, , ,AGM/DIV-RS 2.50 PER SHARE
EQ,PITTILAM,Pitti Laminations Limited, ,22/09/2015,28/09/2015,18/09/2015, , ,AGM/DIV-RE 0.625 PER SH  
EQ,NETWORK18,Network18 Media & Inv Ltd, ,21/09/2015,24/09/2015,16/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,MIC,MIC Electronics Limited, ,24/09/2015,30/09/2015,22/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,MCDHOLDING,McDowell Holdings Limited, ,25/09/2015,28/09/2015,23/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,KMSUGAR,K.M.Sugar Mills Limited, ,14/09/2015,19/09/2015,10/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,DOLPHINOFF,Dolphin Offshore Enterpri, ,23/09/2015,29/09/2015,21/09/2015, , ,Annual General Meeting   
EQ,ANSALHSG,Ansal Housing and Constru, ,26/09/2015,30/09/2015,23/09/2015, , ,AGM/DIV RE 0.80 PER SHARE
EQ,MBECL,Mcnally Bharat Engineerin, ,21/09/2015,27/09/2015,16/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,LAKSHMIEFL,Lakshmi Energy and Foods, ,26/09/2015,29/09/2015,23/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,NITINFIRE,Nitin Fire Protection Ind, ,14/09/2015,21/09/2015,10/09/2015, , ,AGM/DIV-RE 0.20 PER SHARE
EQ,TIMETECHNO,Time Technoplast Limited, ,21/09/2015,26/09/2015,16/09/2015, , ,AGM/DIV-RE 0.50 PER SHARE
EQ,SABTN,Sri Adhikari Brothers Tel, ,21/09/2015,26/09/2015,16/09/2015, , ,AGM/DIV-RE 0.60 PER SHARE
EQ,JCTEL,JCT Electronics Limited, ,22/09/2015,28/09/2015,18/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,INFOMEDIA,Infomedia 18 Limited, ,21/09/2015,24/09/2015,16/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,FIEMIND,Fiem Industries Limited, ,19/09/2015,25/09/2015,16/09/2015, , ,AGM/DIV-RS 7 PER SHARE   
EQ,HANUNG,Hanung Toys and Textiles, ,14/09/2015,18/09/2015,10/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,TIIL,Technocraft Industries (I, ,24/09/2015,29/09/2015,22/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,TVSSRICHAK,TVS Srichakra Limited, ,12/09/2015,23/09/2015,10/09/2015, , ,AGM/DIV-RS 33.8 PER SHARE
EQ,NAGREEKEXP,Nagreeka Exports Limited, ,21/09/2015,28/09/2015,16/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,RELIGARE,Religare Enterprises Limi, ,07/09/2015,14/09/2015,03/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,BVCL,Barak Valley Cements Limi, ,17/09/2015,23/09/2015,15/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,GTLINFRA,GTL Infrastructure Limite, ,23/09/2015,23/09/2015,21/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,SHIVAMAUTO,Shivam Autotech Limited,10/10/2015, , ,08/10/2015, , ,BONUS 1:1                
EQ,AARVEEDEN,Aarvee Denims & Exports L, ,21/09/2015,28/09/2015,16/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,MURLIIND,Murli Industries Limited, ,21/09/2015,30/09/2015,16/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,ADVANIHOTR,Advani Hotels & Resorts (, ,05/09/2015,16/09/2015,03/09/2015, , ,AGM/DIV-RE 0.12 PER SHARE
EQ,HINDUJAVEN,Hinduja Ventures Limited, ,16/09/2015,23/09/2015,14/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,AFL,Accel Frontline Limited, ,23/09/2015,25/09/2015,21/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,SHYAMTEL,Shyam Telecom Limited, ,25/09/2015,29/09/2015,23/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,PFC,Power Finance Corporation, ,18/09/2015,24/09/2015,15/09/2015, , ,AGM/DIV-RE 0.60 PER SHARE
EQ,SMSPHARMA,SMS Pharmaceuticals Limit, ,24/09/2015,29/09/2015,22/09/2015, , ,AGM/DIV-RS 2 PER SHARE   
EQ,JAIHINDPRO,Jaihind Projects Ltd, ,19/09/2015,26/09/2015,16/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,SHLAKSHMI,Shri Lakshmi Cotsyn Limit, ,28/09/2015,30/09/2015,23/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,RJL,Renaissance Jewellery Lim, ,16/09/2015,23/09/2015,14/09/2015, , ,AGM/DIV-RE 1 PER SHARE   
EQ,KOLTEPATIL,Kolte - Patil Developers, ,10/09/2015,16/09/2015,08/09/2015, , ,AGM/DIV RS 2/- PER SHARE 
EQ,KAUSHALYA,Kaushalya Infrastructure, ,25/09/2015,29/09/2015,23/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,BBL,Bharat Bijlee Ltd, ,16/09/2015,22/09/2015,14/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,LITL,Lanco Infratech Limited, ,23/09/2015,28/09/2015,21/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,PARSVNATH,Parsvnath Developers Limi, ,24/09/2015,30/09/2015,22/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,GANESHHOUC,Ganesh Housing Corp Ltd, ,19/09/2015,30/09/2015,16/09/2015, , ,DIV-RS 2.60 PER SHARE    
EQ,HCIL,Himadri Chemicals And Ind, ,16/09/2015,22/09/2015,14/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,BROADCAST,Broadcast Initiatives Lim, ,24/09/2015,30/09/2015,22/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,GUJAPOLLO,Gujarat Apollo Equip Ltd., ,21/09/2015,26/09/2015,16/09/2015, , ,AGM/DIV-RS 2.50 PER SHARE
EQ,RAMSARUP,Ramsarup Industries Limit, ,23/09/2015,30/09/2015,21/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,MEGASOFT,Megasoft Limited, ,17/09/2015,23/09/2015,15/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,MANALIPETC,Manali Petrochemicals Lt, ,14/09/2015,23/09/2015,10/09/2015, , ,AGM/DIV-RE 0.50 PER SHARE
EQ,BLUECOAST,Blue Coast Hotels and Res, ,23/09/2015,30/09/2015,21/09/2015, , ,ANNUAL GENERAL EETING    
EQ,INDUSFILA,Indus Fila Limited, ,26/09/2015,30/09/2015,23/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,IDEA,Idea Cellular Limited, ,22/09/2015,28/09/2015,18/09/2015, , ,AGM/DIV-RE 0.60 PER SHARE
EQ,EUROCERA,Euro Ceramics Limited, ,23/09/2015,29/09/2015,21/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,DEEPIND,Deep Industries Ltd, ,24/09/2015,30/09/2015,22/09/2015, , ,AGM/DIV-RE 1 PER SHARE   
EQ,TEXMOPIPES,Texmo Pipe & Products Ltd, ,22/09/2015,27/09/2015,18/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,PVP,PVP Ventures Limited, ,25/09/2015,29/09/2015,23/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,ABHISHEK,Abhishek Corporation Ltd., ,24/09/2015,30/09/2015,22/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,HSIL,HSIL Limited, ,16/09/2015,23/09/2015,14/09/2015, , ,AGM/DIV RS 3.50 PER SHARE
EQ,SUNTECK,Sunteck Realty Limited, ,25/09/2015,29/09/2015,23/09/2015, , ,AGM/DIV-RE 1 PER SHARE   
EQ,MVL,MVL Limited, ,25/09/2015,30/09/2015,23/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,ARCHIDPLY,Archidply Industries Limi, ,24/09/2015,30/09/2015,22/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,DEN,Den Networks Ltd, ,22/09/2015,26/09/2015,18/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,FIRSTWIN,First Winner Industries L, ,21/09/2015,28/09/2015,16/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,LOTUSEYE,Lotus Eye Care Hospital L, ,22/09/2015,28/09/2015,18/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,INSECTICID,Insecticides (India) Limi, ,14/09/2015,22/09/2015,10/09/2015, , ,AGM/DIV-RS 2.50 PER SHARE
EQ,ASTEC,Astec LifeSciences Ltd, ,18/09/2015,22/09/2015,15/09/2015, , ,AGM/DIV-RS 1.25 PER SHARE
EQ,AUSOMENT,Ausom Enterprise Limited, ,24/09/2015,29/09/2015,22/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,UBL,United Breweries Limited, ,16/09/2015,22/09/2015,14/09/2015, , ,AGM/DIV-RE 1 PER SHARE   
EQ,SHILPAMED,Shilpa Medicare Ltd, ,21/09/2015,28/09/2015,16/09/2015, , ,AGM/DIV-RS 1.10 PER SHARE
EQ,REFEX,Refex Industries Limited, ,26/09/2015,30/09/2015,23/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,TANTIACONS,Tantia Constructions Limi, ,22/09/2015,29/09/2015,18/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,SHRIRAMEPC,Shriram EPC Limited, ,18/09/2015,24/09/2015,15/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,OISL,OCL Iron and Steel Limite, ,24/09/2015,30/09/2015,22/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,LPDC,Landmark Property Develop, ,24/09/2015,30/09/2015,22/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,SICAGEN,Sicagen India Limited, ,14/09/2015,23/09/2015,10/09/2015, , ,DIV-RE 0.60 PER SHARE    
