SERIES,SYMBOL,SECURITY,RECORD_DT,BC_STRT_DT,BC_END_DT,EX_DT,ND_STRT_DT,ND_END_DT,PURPOSE
BE,ONGC,OIL AND NATURAL GAS CORP., ,09/09/2015,15/09/2015,07/09/2015, , ,AGM/DIV-RE 0.50 PER SHARE
BE,HINDOILEXP,Hind. Oil Exploration , ,18/09/2015,25/09/2015,15/09/2015, , ,ANNUAL GENERAL MEETING   
BE,VARDMNPOLY,Vardhman Polytex Limited, ,23/09/2015,29/09/2015,21/09/2015, , ,ANNUAL GENERAL MEETING   
BE,MODIRUBBER,Modi Rubber Ltd., ,23/09/2015,29/09/2015,21/09/2015, , ,ANNUAL GENERAL MEETING   
BE,MAX,MAX INDIA LTD, ,17/09/2015,23/09/2015,15/09/2015, , ,AGM/DIV-RE 1 PER SHARE   
BE,JMCPROJECT,JMC Projects (I)  Ltd., ,26/09/2015,29/09/2015,23/09/2015, , ,AGM/DIV-RE 1 PER SHARE   
BE,IOC,INDIAN OIL CORP LTD, ,08/09/2015,15/09/2015,04/09/2015, , ,AGM/DIV-RS 6.60 PER SHARE
BE,LML,LML Limited - Depo, ,14/09/2015,24/09/2015,10/09/2015, , ,Annual General Meeting   
BE,VISESHINFO,Visesh Infotecnics Limite, ,27/09/2015,30/09/2015,23/09/2015, , ,ANNUAL GENERAL MEETING   
BE,NATIONALUM,NATIONALUM - Depo, ,22/09/2015,26/09/2015,18/09/2015, , ,AGM/DIV-RE 0.50 PER SHARE
BE,ARCHIES,Archies Limited - Depo, ,22/09/2015,28/09/2015,18/09/2015, , ,AGM/DIV-RE 0.30 PER SHARE
BE,OUDHSUG,The Oudh Sugar Mills Ltd, ,07/09/2015,14/09/2015,03/09/2015, , ,ANNUAL GENERAL MEETING   
BE,HEG,HEG Ltd, ,16/09/2015,22/09/2015,14/09/2015, , ,AGM/DIV-RS 3 PER SHARE   
BE,RUCHISOYA,Ruchi Soya Inds Ltd., ,21/09/2015,23/09/2015,16/09/2015, , ,DIV-RE 0.16 PER SHARE    
BE,ITI,ITI Limited (Depository), ,15/09/2015,23/09/2015,11/09/2015, , ,ANNUAL GENERAL MEETING   
BE,STARPAPER,Star Paper Mills Ltd, ,17/09/2015,24/09/2015,15/09/2015, , ,ANNUAL GENERAL MEETING   
BE,STEELTUBES,Steel Tubes of India Ltd, ,22/09/2015,29/09/2015,18/09/2015, , ,ANNUAL GENERAL MEETING   
BE,GLENMARK,Glenmark Pharma Ltd, ,14/09/2015,22/09/2015,10/09/2015, , ,AGM/DIV-RS 2 PER SHARE   
BE,UPERGANGES,Upper Ganges Sug & Ind , ,05/09/2015,12/09/2015,03/09/2015, , ,ANNUAL GENERAL MEETING   
BE,BEL,Bharat Electronics Ltd,15/09/2015, , ,14/09/2015, , ,BONUS 2:1                
BE,HMT,HMT Ltd, ,22/09/2015,30/09/2015,18/09/2015, , ,ANNUAL GENERAL MEETING   
BE,MADRASFERT,Madras Fertilizers Ltd, ,22/09/2015,28/09/2015,18/09/2015, , ,ANNUAL GENERAL MEETING   
BE,PETRONENGG,Petron Engg Construc Ltd, ,18/09/2015,25/09/2015,15/09/2015, , ,ANNUAL BOOK CLOSURE      
BZ,NRC,NRC Ltd., ,17/09/2015,30/09/2015,15/09/2015, , ,ANNUAL GENERAL LIMITED   
BZ,GOENKA,Goenka Diamond&Jewels Ltd, ,23/09/2015,30/09/2015,21/09/2015, , ,ANNUAL GENERAL MEETING   
BZ,CLUTCHAUTO,Clutch Auto Limited, ,24/09/2015,30/09/2015,22/09/2015, , ,ANNUAL GENERAL MEETING   
BZ,INDUSFILA,Indus Fila Limited, ,26/09/2015,30/09/2015,23/09/2015, , ,ANNUAL GENERAL MEETING   
BZ,SHLAKSHMI,Shri Lakshmi Cotsyn Limit, ,28/09/2015,30/09/2015,23/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,SAKHTISUG,Sakthi Sugars Ltd., ,24/09/2015,30/09/2015,22/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,ROLTA,Rolta India Ltd., ,24/09/2015,26/09/2015,22/09/2015, , ,AGM/DIV-RS 3 PER SHARE   
EQ,VARDMNPOLY,Vardhman Polytex Limited, ,23/09/2015,29/09/2015,21/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,UPERGANGES,Upper Ganges Sug & Ind , ,05/09/2015,12/09/2015,03/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,GODFRYPHLP,Godfrey Phillips Ltd., ,23/09/2015,29/09/2015,21/09/2015, , ,AGM/DIV-RS 8 PER SHARE   
EQ,HEG,HEG Ltd, ,16/09/2015,22/09/2015,14/09/2015, , ,AGM/DIV-RS 3 PER SHARE   
EQ,MAX,Max India Ltd, ,17/09/2015,23/09/2015,15/09/2015, , ,AGM/DIV-RE 1 PER SHARE   
EQ,NEPCMICON,NEPC India Ltd, ,28/09/2015,30/09/2015,23/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,PRAKASH,Prakash Industries Ltd., ,22/09/2015,26/09/2015,18/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,PDUMJEPULP,Pudumjee Pulp & Paper , ,08/09/2015,19/09/2015,04/09/2015, , ,DIVIDEND-RE 0.30 PER SH  
EQ,SUPREMEIND,Supreme Industries Ltd, ,10/09/2015,16/09/2015,08/09/2015, , ,AGM/DIV RS 7/- PER SHARE 
EQ,SUPPETRO,Supreme Petrochem Ltd, ,21/09/2015,23/09/2015,16/09/2015, , ,AGM/DIV-RS 1.50 PER SHARE
EQ,DHAMPURSUG,Dhampur Sugar Mills Ltd, ,04/09/2015,11/09/2015,02/09/2015, , ,ANNUAL GENERAL MEETING   
